Region,FIRST_IDDP,Download_Speed,Samples,Rank,Best_region,Best,week_earlier,Compare_earlier,Entel,Compare_Entel,Entel_Samples
Arequipa,4,7.1,9584393,2,10.6,33.1,7.3,-2.8,1.6,346.9,4440856
Lima,15,8.5,46760293,2,9.2,7,9.2,-7.7,1.6,432.6,52174195
Tumbes,24,9.9,673748,2,12.8,22.5,10.1,-1.7,0.7,1387.5,342827
Lambayeque,14,11.4,2520061,2,11.6,1.8,11.5,-1,1.5,647.1,2494690
Callao,7,9,3349413,2,9.6,6,9.8,-7.4,1.6,465.2,5384898
Loreto,16,8.1,510361,1,8.1,0,8.3,-2.9,0.6,1163.6,423625
Pasco,19,8.3,1103916,1,8.3,0,7.7,7.9,1.6,421,379771
Junin,12,8.1,5028758,2,9.1,11.1,8.6,-5.8,1.5,439.4,2787964
Ucayali,25,8.5,1375250,2,10,14.9,9,-5.9,1.6,442.7,1129478
Moquegua,18,8.1,1120440,2,9.8,17.1,8.4,-3.2,1.3,539,274049
Tacna,23,7.9,1462284,2,11,28.5,8.2,-4,1.6,392.8,821074
Huancavelica,9,9.3,1108614,1,9.3,0,9.6,-3.2,1.7,462.8,130126
Madre de Dios,17,7.5,2414080,2,15.2,50.5,7.4,1.4,1.7,356.7,180406
Puno,21,7.1,5793284,2,7.8,8.5,6.8,4.2,1.6,343.1,1663868
Piura,20,9.8,3200374,2,11.6,15.4,9.8,-0.4,1.6,524.2,3743811
Ancash,2,9.5,2728773,1,9.5,0,9.4,1.5,1.6,515.2,2534762
Ica,11,7.2,3586129,3,11.4,36.6,7.5,-4,1.5,374.9,3034653
Huanuco,10,8.8,2562481,2,9.7,8.8,8.9,-1.1,1.6,450.6,1014638
La Libertad,13,9.2,6260691,2,10.8,15.3,9.3,-1.3,1.6,489.8,4298829
Ayacucho,5,8,2302199,2,9.1,12.1,8,0.4,1.7,382.2,549944
Cajamarca,6,9.4,2631027,1,9.4,0,9.4,-0.3,1.6,494.4,1081505
Apurimac,3,7.9,2027212,2,9.7,18.7,7.8,1.1,1.7,373.2,264053
Amazonas,01,9.1,692484,2,10.4,12.8,9.4,-3.1,1.6,486.2,254359
San Martin,22,9.6,1826465,1,9.6,0,9.4,2.3,1.5,530.4,898644
Cusco,8,7.9,7282683,2,9.5,16.9,7.9,0.1,1.5,422.4,1224184
